Iteration,Discriminator Loss,Generator Loss
2520,1.397828,0.622401
2530,1.369563,0.747590
2540,1.379353,0.641490
2550,1.372267,0.736565
2560,1.374056,0.558312
2570,1.370024,0.586164
2580,1.352388,0.698461
2590,1.371513,0.697067
2600,1.372851,0.639923
2610,1.387897,0.613465
2620,1.362964,0.689980
2630,1.369097,0.582247
2640,1.386577,0.683234
2650,1.316062,0.652228
2660,1.376702,0.638505
2670,1.378407,0.636696
2680,1.362487,0.660259
2690,1.358197,0.599726
2700,1.338788,0.652360
2710,1.388781,0.700172
2720,1.342566,0.703619
2730,1.358569,0.612566
2740,1.396734,0.703273
2750,1.343475,0.636644
2760,1.318697,0.816289
2770,1.370075,0.680879
2780,1.362001,0.700026
2790,1.375001,0.708873
2800,1.327842,0.653758
2810,1.365828,0.683914
2820,1.380056,0.703449
2830,1.375816,0.722688
2840,1.380584,0.591044
2850,1.288351,0.675694
2860,1.396822,0.676778
2870,1.326719,0.490006
2880,1.333138,0.683707
2890,1.368094,0.688314
2900,1.340560,0.693488
2910,1.378724,0.683851
2920,1.388268,0.690335
2930,1.384388,0.661461
2940,1.346905,0.594960
2950,1.352302,0.544314
2960,1.342223,0.657314
2970,1.336879,0.783639
2980,1.386613,0.683452
2990,1.388044,0.657720
3000,1.376130,0.703342
3010,1.335700,0.744557
3020,1.299566,0.594687
3030,1.393043,0.711402
3040,1.322950,0.577333
3050,1.357046,0.531014
3060,1.333287,0.628959
3070,1.396176,0.671724
3080,1.357921,0.554094
3090,1.362500,0.618729
3100,1.386822,0.675911
3110,1.309458,0.508578
3120,1.304431,0.535319
3130,1.380218,0.682884
3140,1.385246,0.698962
3150,1.390115,0.619000
3160,1.335340,0.736031
3170,1.315428,0.611286
3180,1.376980,0.705465
3190,1.377250,0.683954
3200,1.290349,0.558079
3210,1.311876,0.593139
3220,1.266807,0.487899
3230,1.304910,0.524124
3240,1.375608,0.684585
3250,1.366096,0.666950
3260,1.326653,0.661569
3270,1.333424,0.484884
3280,1.372415,0.646307
3290,1.351810,0.760648
3300,1.373639,0.635142
3310,1.373248,0.692242
3320,1.379336,0.695394
3330,1.347071,0.563501
3340,1.369864,0.568837
3350,1.274088,0.499667
3360,1.283527,0.487802
3370,1.356077,0.535240
3380,1.381472,0.702739
3390,1.281443,0.461125
3400,1.369029,0.732636
3410,1.363965,0.689728
3420,1.274641,0.486691
3430,1.259731,0.612836
3440,1.374415,0.646868
3450,1.419147,0.527923
3460,1.334327,0.536029
3470,1.338036,0.535558
3480,1.273094,0.441621
3490,1.361771,0.702598
3500,1.386679,0.539397
3510,1.334208,0.575824
3520,1.380328,0.536818
3530,1.234881,0.718075
3540,1.325437,0.626752
3550,1.343564,0.646589
3560,1.271460,0.643165
3570,1.304783,0.518444
3580,1.361633,0.697642
3590,1.353161,0.541102
3600,1.329707,0.445949
3610,1.375780,0.707850
3620,1.350028,0.544279
3630,1.338022,0.638159
3640,1.360734,0.774660
3650,1.369810,0.646865
3660,1.340774,0.646583
3670,1.352638,0.664158
3680,1.385077,0.622303
3690,1.367638,0.630012
3700,1.249074,0.626125
3710,1.320269,0.559299
3720,1.253235,0.479776
3730,1.380799,0.621029
3740,1.328851,0.667673
3750,1.348530,0.508846
3760,1.368933,0.591543
3770,1.346117,0.915265
3780,1.360894,0.624042
3790,1.359718,0.527604
3800,1.308371,0.482575
3810,1.360664,0.695427
3820,1.324233,0.678749
3830,1.508243,0.832060
3840,1.279693,0.473237
3850,1.273722,0.484768
3860,1.254596,0.464229
3870,1.282809,0.457309
3880,1.364040,0.454385
3890,1.301223,0.474411
3900,1.345636,0.663730
3910,1.347435,0.675847
3920,1.380416,0.456394
3930,1.386474,0.684690
3940,1.345593,0.585280
3950,1.280850,0.645740
3960,1.287874,0.625057
3970,1.341021,0.495705
3980,1.320060,0.516559
3990,1.376938,0.697167
4000,1.348416,0.706283
4010,1.327354,0.703780
4020,1.402983,0.674471
4030,1.333286,0.465295
4040,1.371215,0.692600
4050,1.311903,0.643713
4060,1.185456,0.545001
4070,1.278579,0.581206
4080,1.325730,0.590751
4090,1.198545,0.802319
4100,1.308368,0.895080
4110,1.136400,0.441494
4120,1.318226,0.797026
4130,1.270453,0.493656
4140,1.263486,0.649587
4150,1.320822,0.460303
4160,1.266188,0.439454
4170,1.337327,0.520821
4180,1.337287,0.490720
4190,1.236523,0.433854
4200,1.342618,0.595648
4210,1.281711,0.629259
4220,1.275033,0.631322
4230,1.364434,0.578444
4240,1.328194,0.560342
4250,1.105120,0.448159
4260,1.385405,0.792408
